"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"arduino_nano";1;"ARDUINO_NANO";;;
2;"P12";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
3;"L2,L1";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";2;"47uH";;;
4;"Z6,Z5,Z3,Z4,Z7,Z8,Z9";"DO-41";7;"1N4733";;;
5;"Z2";"DO-41";1;"IN5919BG (5.6V)";;;
6;"D2";"DO-41";1;"1N4002";;;
7;"D7,D10,D9,D8,D5,D6,D12,D11";"DO-35";8;"BAT48";;;
8;"C1";"C2V10";1;"47uF";;;
9;"C4,C3,C5,C6,C10,C12,C11,C13";"C2";8;"0.1uF";;;
10;"C2";"C2";1;"0.1 uF";;;
11;"C9,C8";"C1";2;"10pF";;;
12;"Z1";"D5";1;"1N5365B";;;
13;"P3";"SIL-3";1;"IGNITION";;;
14;"P7";"SIL-3";1;"HALL";;;
15;"P6";"SIL-3";1;"SERVO";;;
16;"P4";"SIL-3";1;"LOAD";;;
17;"P5";"SIL-3";1;"THROTTLE";;;
18;"P1";"SIL-2";1;"INJECTOR";;;
19;"P9";"SIL-2";1;"POWER";;;
20;"P2";"SIL-2";1;"FAN/PUMP";;;
21;"R18,R22,R13,R15,R16,R29,R33";"R4";7;"10k";;;
22;"R12,R21";"R4";2;"22k";;;
23;"R14,R17,R19,R2,R4,R23,R30";"R4";7;"1k";;;
24;"R5";"R4";1;"200";;;
25;"R8,R10,R25,R28,R31,R32";"R4";6;"180";;;
26;"R9,R11,R26,R27";"R4";4;"470";;;
27;"R1,R3";"R4";2;"47k";;;
28;"R6";"R4";1;"330";;;
29;"R7";"R4";1;"2.2k";;;
30;"P10";"SIL-3";1;"PUMP";;;
31;"R24";"R4";1;"220";;;
32;"P14";"SIL-5";1;"SPI";;;
33;"P13";"SIL-3";1;"Serial";;;
34;"D4,D3";"D6";2;"FR304";;;
35;"T4";"D6";1;"TVS(1.5KE16CA)";;;
36;"D1";"D6";1;"1N5822";;;
37;"Q1,Q2";"DPAK2";2;"IRL540N";;;
38;"U2,U3";"SOT23-5";2;"74AHC1G14";;;
39;"R20";"R4";1;"240";;;
40;"U4";"DPAK2";1;"7805";;;
41;"U5";"DIP-8__300";1;"6N138";;;
42;"C14";"C1V5";1;"4.7uF";;;
43;"1PIN,1PIN,1PIN,1PIN";"1pin";4;"P***";;;
44;"R34,R35";"R4";2;"100";;;
45;"P8";"SIL-2";1;"ENG TEMP";;;
46;"P11";"SIL-2";1;"AIR TEMP";;;
